Becken-ID,Bad-ID,Beckentyp,"Abweichende Form","Lage des Beckens",Fläche,Länge,Breite,"Gleichmäßige Tiefe",Variofunktion,"Tiefe Minimum","Tiefe Maximum","Stufen Hubboden",Sprungbecken,"Besondere Aspekte",Schwimmen,Wasserball,Kunstspringen,Turmspringen,Kanu,Synchronschwimmen,Rettungsschwimmen,Anfängerschwimmen,"Sonstige Sportarten","Anzahl Bahnen"
1,1,Nichtschwimmerbecken,nein,,129,,,nein,nein,1.1,1.2,,nein,,,,,,,,,,,
2,1,Warmsprudelbecken,ja,,3.3,,,ja,nein,,1.25,,nein,,,,,,,,,,,
3,1,Kleinkinderbecken,ja,,20,,,nein,nein,0.2,0.25,,nein,,,,,,,,,,,
4,1,Warmsprudelbecken,ja,,68,,,nein,nein,1.1,1.3,,nein,,,,,,,,,,,
5,1,Schwimmerbecken,nein,,18,,,,,,,,ja,,,,,,,,,,,
5300,1,Variobecken,nein,,283,25,,nein,nein,1.25,3.8,,nein,,,,,,,,,,,
6,2,Kursbecken,ja,,58.6,,,nein,nein,0.86,1.3,,nein,,,,,,,,,,,
7,2,Kursbecken,nein,,93.3,,,ja,nein,,1.3,,nein,,,,,,,,,,,
8,2,Warmsprudelbecken,nein,,4.91,,,ja,nein,,1.15,,nein,,,,,,,,,,,
9,2,Warmsprudelbecken,nein,,12.56,,,ja,nein,,1.3,,nein,,,,,,,,,,,
10,2,Kaltwasser-Tretbecken,nein,,1.4,,,nein,ja,,1.3,,nein,,,,,,,,,,,
5301,2,Schwimmerbecken,nein,,60,,,nein,nein,0.9,2,,nein,,,,,,,,,,,
11,3,Kursbecken,nein,,100,,,nein,nein,0.45,1.15,,nein,,,,,,,,,,,
5302,3,Schwimmerbecken,nein,,1050,50,21,nein,nein,2,0.6,,nein,,,,,,,,,,,
5303,4,Kursbecken,nein,,,7.5,12,ja,nein,,1.34,,,,,,,,,,,,,
12,6,Nichtschwimmerbecken,ja,,,,,,,,,,,,,,,,,,,,,
13,6,Kleinkinderbecken,ja,,,,,,,,,,,,,,,,,,,,,
5305,6,Schwimmerbecken,nein,,,50,,,,,,,ja,,,,,,,,,,,
15,7,Nichtschwimmerbecken,nein,,968,,,nein,nein,1.25,0.45,,nein,,,,,,,,,,,
16,7,Kleinkinderbecken,nein,,240,,,nein,nein,0.35,0.1,,nein,,,,,,,,,,,
5306,7,Schwimmerbecken,nein,,1165,50,,nein,nein,3.6,1.8,,ja,,,,,,,,,,,
5307,8,Schwimmerbecken,nein,2,500,50,10,nein,nein,,1.8,,nein,"Multifunktionsbecken mit drei 50-Meter-Bahnen und fünf 25-Meter-Bahnen, der Nichtschwimmerbereich ist mit einer angehobenen Wassertiefe (60 bis 135 cm) ausgestattet inkl. Rutsche",ja,nein,nein,nein,nein,nein,nein,nein,,8
20102,8,Kleinkinderbecken,ja,2,,,,,nein,,,,nein,"Planschbecken (98 qm) mit Kleinkindrutsche, Fontänenfeld, Sonnensegel",nein,nein,nein,nein,nein,nein,nein,nein,,
20103,8,Kursbecken,ja,1,100,12,,ja,ja,0,2,6,nein,"Temperatur ca. 30 °C",nein,nein,nein,nein,,,nein,ja,"Babyschwimmkurse, Kleinkinderschwimmkurse, Aquafitkurse, Kinderschwimmkurse",
20104,8,Schwimmerbecken,nein,1,,50,,,ja,0,2,6,nein,"10 x 50 m-Bahnen im einem wettkampfgerechten Becken (Hubwand und Hubbrücke, Fina-Startsockel)",ja,,nein,nein,,,,ja,Aquatrainingskurse,10
14,9,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
5308,9,Schwimmerbecken,nein,,,25,,nein,,,,,ja,"Beckenlifter. Schwimmkurse",,,,,,,,,,
26,23,Schwimmerbecken,ja,,,,,nein,,1.85,3.48,,,,,,,,,,,,,
27,23,Nichtschwimmerbecken,nein,,,,,nein,,0.7,1.3,,,,,,,,,,,,,
28,23,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
29,23,Springerbecken,,,,,,ja,,,4.1,,,,,,,,,,,,,
19628,24,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
30,25,Schwimmerbecken,,,,25,15,,,,,,ja,,,,,,,,,,,
31,25,Springerbecken,,,,,,,,,,,,,,,,,,,,,,
32,25,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
33,25,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
34,27,Wellenbecken,,,,,,,,,,,,,,,,,,,,,,
35,27,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
36,27,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
37,28,Schwimmerbecken,nein,1,,25,12.5,nein,,1.05,3.05,,ja,,,,,,,,,,,5
38,28,Tauchbecken,,,,,,,,,,,,,,,,,,,,,,
42,32,Schwimmerbecken,,,,,,nein,,,,,,,,,,,,,,,,
43,32,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
44,33,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
45,33,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
56,37,Schwimmerbecken,ja,,1050,50,21,nein,nein,,,,ja,"Lift vorhanden",,,,,,,,,,8
57,37,Nichtschwimmerbecken,ja,,832.5,33.3,25,ja,nein,,,,nein,"Lift vorhanden",,,,,,,,,,
58,37,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,nein,nein,nein,nein,nein,nein,nein,,,
49,38,Wellenbecken,ja,,,,,,nein,,1.3,,nein,,,,,,,,,,,
50,38,Warmsprudelbecken,ja,,,,,nein,nein,,0.8,,nein,,,,,,,,,,,
51,38,Warmsprudelbecken,nein,,,,,nein,nein,,0.8,,nein,,,,,,,,,,,
52,38,Warmsprudelbecken,ja,,,,,nein,,,1.3,,nein,,,,,,,,,,,
53,38,Kaltwasser-Tretbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
54,38,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
55,38,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
59,39,Schwimmerbecken,nein,,312.5,25,12.5,nein,nein,,,,ja,"""barrierefrei durch einen Aufzug Behinderten - Dusche, - Kabine, Behindertenlift """,,,,,,,,,,6
60,39,Nichtschwimmerbecken,nein,,106.25,12.5,8.5,,nein,,,,nein,"""barrierefrei durch einen Aufzug Behinderten - Dusche, - Kabine, Behindertenlift """,,,,,,,,,,
61,39,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
62,40,Schwimmerbecken,nein,,,27.5,12.5,nein,nein,,,,ja,,,,nein,nein,nein,,,,,
20088,40,Kursbecken,,,,17.5,8.5,nein,nein,,,,,,,,,,,,,,,
63,41,Schwimmerbecken,nein,,312,25,12.5,ja,nein,,,,nein,,,,,,,,,,,
64,41,Springerbecken,nein,,238,17,14,ja,nein,4.55,4.55,,ja,,nein,nein,ja,ja,nein,,nein,nein,,
65,41,Nichtschwimmerbecken,nein,,106.25,12.5,8.5,nein,nein,,,,nein,"kleine Rutsche für Kinder",nein,nein,nein,nein,nein,nein,nein,,,
66,42,Schwimmerbecken,nein,1,312.5,25,15,nein,nein,2,3.8,,ja,,ja,ja,ja,ja,,ja,ja,ja,,6
67,42,Kursbecken,nein,1,106.25,12.5,8.5,nein,nein,0.9,1.3,,nein,,nein,nein,nein,nein,nein,nein,nein,ja,,
68,43,Schwimmerbecken,nein,,312,25,12.5,nein,,,,,ja,,,,,,,,,,,
69,43,Nichtschwimmerbecken,nein,,106.25,12.5,8.5,nein,,,,,nein,"barrierefrei mit Behinderten - Dusche, - Kabine, Behindertenlift sowie Duschrollstühle",,,,,,,,,,
70,44,Schwimmerbecken,nein,,,25,,nein,nein,,,,ja,,,,,,,,,,,5
71,44,Kursbecken,ja,,100,,,nein,ja,,,,nein,,,,,,,,,,,
72,44,Kleinkinderbecken,ja,,63,,,nein,nein,,0.45,,nein,,,,,,,,,,,
73,44,Wellenbecken,nein,,1250,,,nein,nein,0,1.9,,nein,,,,,,,,,,,
74,44,Wellenbecken,ja,,305,,,ja,nein,1.25,1.25,,nein,,,,,,,,,,,
75,44,Kleinkinderbecken,ja,,105,,,ja,nein,0.26,0.26,,nein,,,,,,,,,,,
76,45,Schwimmerbecken,ja,,,25,,nein,nein,,,,ja,,,,,,,,,,,4
77,45,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
78,45,Nichtschwimmerbecken,nein,,100,,,nein,nein,,,,nein,,,,,,,,,,,
79,46,Schwimmerbecken,nein,,,50,21,nein,nein,,,,nein,,,,,,,,,,,8
80,46,Wellenbecken,nein,,630,,,ja,nein,,,,nein,,,,,,,,,,,
81,46,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
82,47,Schwimmerbecken,,,,25,,nein,ja,0.3,1.8,,nein,,,,,,,,,,,6
83,47,Nichtschwimmerbecken,nein,,125,,,,,0.6,1.2,,nein,,,,,,,,,,,
84,48,Schwimmerbecken,nein,,,25,12.5,nein,nein,,,,ja,,,,,,,,,,,5
85,48,Kleinkinderbecken,nein,,,6,4,nein,nein,,0.3,,nein,,,,,,,,,,,
86,49,Variobecken,nein,,,25,,nein,ja,,,,,,,,,,,,,,,3
87,49,Schwimmerbecken,nein,,,50,,ja,nein,,,,nein,,,,,,,,,,,5
88,49,Nichtschwimmerbecken,nein,,,,,ja,nein,,,,nein,,,,,,,,,,,
89,50,Schwimmerbecken,nein,,200,25,8,nein,ja,0.3,1.8,,nein,"Für das bequemere Ein- und Aussteigen aus dem Becken ist eine Einstiegsleiter vorhanden.",ja,ja,nein,nein,nein,nein,ja,ja,"Sport- und Einsatztauchen, Wassergymnastik, Aquasport",3
90,51,Schwimmerbecken,nein,,,50,16.66,nein,nein,1,2,,nein,,,,,,,,,,,6
91,51,Variobecken,nein,,,25,12.5,nein,ja,0.6,2.1,,nein,,,,,,,,,,,
92,51,Springerbecken,nein,,,12.5,10.25,ja,nein,3.8,3.8,,ja,,,,,,,,,,,
93,51,Kleinkinderbecken,nein,,,10,8,nein,,,0.4,,nein,,,,,,,,,,,
94,52,Schwimmerbecken,nein,,,25,,nein,nein,0.9,3.8,,,,,,,,,,,,,7
95,52,Wellenbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
96,52,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
97,52,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
98,52,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
99,52,Nichtschwimmerbecken,nein,,,,,ja,nein,,,,nein,,,,,,,,,,,
101,52,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
102,53,Schwimmerbecken,nein,,,50,23,nein,nein,,,,ja,,,,,,,,,,,8
103,53,Kleinkinderbecken,nein,,64,8,8,ja,nein,,,,nein,Wasserattraktionen,,,,,,,,,,
104,54,Schwimmerbecken,nein,,,25,,nein,nein,,,,ja,,,,,,,,,,,4
105,54,Kleinkinderbecken,nein,,,,,ja,nein,,,,nein,,,,,,,,,,,
106,55,Schwimmerbecken,nein,,,25,,ja,nein,,,,nein,,,,,,,,,,,4
107,55,Variobecken,,,,,,,ja,,,,,,,,,,,,,,,
108,55,Kleinkinderbecken,,,,,,nein,nein,,,,nein,,,,,,,,,,,
109,55,Wellenbecken,nein,,,25,,nein,nein,0,,,,,,,,,,,,,,6
110,55,Springerbecken,nein,,,,,ja,nein,,,,ja,,,,,,,,,,,
111,55,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
112,56,Schwimmerbecken,nein,,,50,,ja,nein,,,,nein,,,,,,,,,,,6
113,56,Springerbecken,nein,,,,,ja,nein,,,,ja,,,,,,,,,,,
114,56,Nichtschwimmerbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
115,56,Kleinkinderbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
116,57,Schwimmerbecken,nein,,,25,,nein,nein,,,,nein,,,,,,,,,,,3
117,57,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
118,58,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
119,58,Nichtschwimmerbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
120,58,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
121,58,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
19708,59,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,4
19709,59,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
19710,59,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
122,61,Schwimmerbecken,nein,,,25,,nein,,1.35,2.1,,ja,,,,,,,,,,,5
123,61,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
124,61,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
125,62,Schwimmerbecken,ja,,,25,,nein,nein,,,,ja,,,,,,,,,,,
126,62,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
127,62,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
128,63,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
129,63,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
130,64,Schwimmerbecken,ja,,,50,,ja,nein,,,,nein,,,,,,,,,,,6
131,64,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
132,64,Springerbecken,nein,,,,,ja,nein,,,,ja,,,,,,,,,,,
133,64,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
134,64,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
135,64,Wellenbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
136,64,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
137,64,Nichtschwimmerbecken,,,,,,nein,nein,,,,nein,,,,,,,,,,,
138,65,Schwimmerbecken,nein,,,25,16,nein,nein,,,,ja,,,,,,,,,,,
139,65,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
140,66,Variobecken,nein,,,25,12.5,nein,ja,1.35,,,ja,,,,,,,,,,,5
141,66,Nichtschwimmerbecken,ja,,153,,,nein,nein,0.55,1.3,,,,,,,,,,,,,
142,66,Kleinkinderbecken,ja,,52,,,nein,nein,,,,nein,,,,,,,,,,,
143,66,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
144,66,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
146,68,Schwimmerbecken,nein,,,50,18,nein,nein,,,,ja,,,,,,,,,,,7
147,68,Nichtschwimmerbecken,ja,,,50,15,ja,nein,,,,nein,,,,,,,,,,,
148,68,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
149,69,Schwimmerbecken,nein,,,25,16,nein,nein,1.8,3.8,,ja,,,,,,,,,,,6
150,69,Nichtschwimmerbecken,ja,,,25,16,nein,nein,0.6,1.2,,nein,,,,,,,,,,,
151,69,Kleinkinderbecken,nein,,,,,ja,nein,,,,nein,,,,,,,,,,,
152,70,Wellenbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
153,70,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
154,70,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
155,70,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
156,70,Nichtschwimmerbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
157,70,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
158,70,Warmsprudelbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
159,70,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
160,71,Schwimmerbecken,nein,,,25,12.5,ja,nein,,,,nein,,,,,,,,,,,5
161,71,Nichtschwimmerbecken,,,,,,ja,nein,,,,nein,,,,,,,,,,,
162,71,Springerbecken,nein,,,,,ja,nein,,,,ja,,,,,,,,,,,
163,71,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
164,72,Nichtschwimmerbecken,ja,,,,,ja,nein,1.05,1.05,,nein,,,,,,,,,,,
165,72,Warmsprudelbecken,ja,,,,,ja,nein,1.1,1.1,,nein,,,,,,,,,,,
166,72,Nichtschwimmerbecken,ja,,,,,ja,nein,1.1,1.1,,nein,,,,,,,,,,,
167,72,Nichtschwimmerbecken,ja,,,,,ja,nein,1.25,1.25,,nein,,,,,,,,,,,
168,72,Schwimmerbecken,nein,,,,,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
169,72,Kursbecken,ja,,,,,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
170,72,Wellenbecken,ja,,,,,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
171,72,Schwimmerbecken,nein,,,,,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
172,72,Warmsprudelbecken,ja,,,,,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
173,73,Schwimmerbecken,nein,,,25,,nein,nein,,,,ja,,,,,,,,,,,
174,73,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
175,73,Kleinkinderbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
176,74,Nichtschwimmerbecken,ja,,264,,,ja,nein,1.4,1.4,,ja,,,,,,,,,,,
177,74,Nichtschwimmerbecken,ja,,245,,,ja,nein,1.4,1.4,,nein,,,,,,,,,,,
178,74,Kursbecken,ja,,112,,,nein,nein,,,,nein,,,,,,,,,,,
179,74,Nichtschwimmerbecken,ja,,350,,,,nein,,,,nein,,,,,,,,,,,
180,75,Schwimmerbecken,ja,,,,,nein,nein,,,,ja,,,,,,,,,,,3
181,75,Nichtschwimmerbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
182,75,Kleinkinderbecken,,,,,,nein,nein,,,,nein,,,,,,,,,,,
183,76,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
184,76,Nichtschwimmerbecken,,,,,,nein,nein,0.6,1.2,,nein,,,,,,,,,,,
185,77,Variobecken,ja,,,16.7,8,nein,ja,,3,,,,,,,,,,,,,
188,79,Schwimmerbecken,ja,,,50,24,nein,nein,,,,ja,,,,,,,,,,,8
189,79,Nichtschwimmerbecken,ja,,,28,11,nein,nein,,,,nein,,,,,,,,,,,
190,79,Kleinkinderbecken,ja,,60,,,,nein,,,,nein,,,,,,,,,,,
191,80,Schwimmerbecken,nein,,,50,18,nein,nein,,,,ja,,,,,,,,,,,6
192,80,Nichtschwimmerbecken,nein,,,32,7.25,nein,nein,,,,nein,,,,,,,,,,,
193,80,Kleinkinderbecken,,,60,,,,nein,,,,nein,,,,,,,,,,,
194,81,Schwimmerbecken,nein,,,25,10,ja,nein,2,2,,nein,,,,,,,,,,,4
195,81,Nichtschwimmerbecken,nein,,,12.5,8,,nein,,,,nein,,,,,,,,,,,
196,82,Schwimmerbecken,ja,,,25,,,nein,,,,nein,,,,,,,,,,,6
197,82,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
198,82,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
199,83,Schwimmerbecken,nein,,,25,10,nein,nein,1.25,2,,nein,,,,,,,,,,,4
200,83,Nichtschwimmerbecken,,,,10,8,nein,nein,,0.8,,nein,,,,,,,,,,,
201,84,Variobecken,nein,,,16.6,10,nein,ja,0.3,1.8,,nein,,,,,,,,,,,
202,84,Schwimmerbecken,ja,,,50,,nein,nein,1.2,3.6,,ja,,,,,,,,,,,6
203,84,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
204,85,Schwimmerbecken,nein,,,25,,nein,nein,0.9,3.7,,ja,,,,,,,,,,,4
205,85,Nichtschwimmerbecken,ja,,,,,nein,nein,0.6,1.2,,nein,,,,,,,,,,,
206,86,Schwimmerbecken,nein,,,25,,nein,nein,0.9,2,,nein,,,,,,,,,,,6
207,87,Schwimmerbecken,nein,,,25,,nein,ja,,,,ja,,,,,,,,,,,
208,87,Nichtschwimmerbecken,nein,,,,,ja,nein,1.3,1.3,,nein,,,,,,,,,,,
209,87,Kleinkinderbecken,ja,,150,,,,nein,,,,nein,,,,,,,,,,,
210,87,Schwimmerbecken,nein,,,50,,ja,nein,,,,nein,,,,,,,,,,,
211,87,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
212,87,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
213,88,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,3
214,89,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
215,89,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
216,89,Schwimmerbecken,nein,,,20,8,,nein,,,,nein,,,,,,,,,,,
217,89,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
218,89,Warmsprudelbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
219,89,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
220,89,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
221,90,Schwimmerbecken,ja,,,50,,nein,nein,,,,nein,,,,,,,,,,,4
222,90,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
223,90,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
224,90,Springerbecken,ja,,,,,ja,nein,,,,ja,,,,,,,,,,,
225,91,Variobecken,nein,,,25,12.5,nein,ja,0.9,3.8,,ja,"Lift vorhanden",,,,,,,,,,5
226,91,Kleinkinderbecken,nein,,,12.5,8,nein,nein,0,0.45,,nein,"Lift vorhanden",,,,,,,,,,
227,92,Schwimmerbecken,nein,,,33.3,16.6,ja,nein,2,2,,nein,,,,,,,,,,,6
228,92,Nichtschwimmerbecken,nein,,,16.6,12.5,nein,nein,0.35,1.25,,nein,,,,,,,,,,,
229,93,Schwimmerbecken,nein,,,25,16.67,nein,ja,0,1.8,,nein,,,,,,,,,,,6
230,93,Variobecken,nein,,100,10,10,nein,ja,0,1.8,,nein,,,,,,,,,,,
231,93,Kleinkinderbecken,ja,,25,5,5,nein,nein,0.1,0.2,,nein,,,,,,,,,,,
232,94,Schwimmerbecken,nein,,1050,50,21,ja,nein,2,2,,nein,,,,,,,,,,,8
233,94,Kleinkinderbecken,ja,,,24,14,nein,nein,0.4,0.6,,nein,,,,,,,,,,,
234,94,Schwimmerbecken,ja,,1150,50,23,nein,nein,0.35,3.8,,ja,,,,,,,,,,,8
235,95,Wellenbecken,nein,,800,40,20,nein,nein,0,2,,nein,,,,,,,,,,,
236,95,Schwimmerbecken,nein,,1050,50,21,nein,nein,1.25,3.8,,ja,,,,,,,,,,,8
237,95,Kleinkinderbecken,ja,,100,,,nein,nein,0,0.4,,nein,,,,,,,,,,,
238,96,Schwimmerbecken,,,,50,,nein,nein,,,,ja,,,,,,,,,,,8
239,96,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
241,98,Schwimmerbecken,nein,,,,,nein,nein,,,,,,,,,,,,,,,
242,99,Schwimmerbecken,ja,,,25,,nein,nein,,,,ja,,,,,,,,,,,6
243,99,Nichtschwimmerbecken,nein,,,,,ja,nein,,,,nein,,,,,,,,,,,
244,99,Wellenbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
245,99,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
246,100,Schwimmerbecken,nein,2,1000,50,,ja,nein,,,,nein,,ja,ja,,,,,,,,8
247,100,Springerbecken,nein,2,,,,ja,nein,,,,ja,,,,,,,,,,,
248,100,Nichtschwimmerbecken,ja,2,500,,,nein,nein,,,,nein,"Treppe ins Wasser, Rutsche für Kinder",,,,,,,,,,
249,100,Kleinkinderbecken,ja,2,130,,,,nein,,,,nein,Rutsche,,,,,,,,,,
250,101,Schwimmerbecken,ja,,,50,,nein,nein,,,,nein,"Integrierter Nichtschwimmerbereich",,,,,,,,,,5
251,101,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
252,102,Schwimmerbecken,nein,,,25,,ja,nein,,,,nein,,,,,,,,,,,5
253,102,Springerbecken,nein,,,,,ja,nein,,,,ja,,,,,,,,,,,
254,102,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
255,102,Kaltwasser-Tretbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
256,102,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
257,103,Schwimmerbecken,nein,,,25,15,nein,nein,,,,ja,,,,,,,,,,,6
258,103,Nichtschwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
259,103,Wellenbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
260,103,Kursbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
261,103,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
262,103,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
263,103,Warmsprudelbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
264,103,Warmsprudelbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
265,103,Warmsprudelbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
266,104,Schwimmerbecken,ja,,1000,50,,nein,nein,,,,ja,"Integrierter Nichtschwimmerbereich",,,,,,,,,,5
267,104,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
268,105,Schwimmerbecken,ja,,740,,,nein,nein,0.65,2,,nein,,,,,,,,,,,3
269,105,Springerbecken,nein,,120,,,,nein,,,,ja,,,,,,,,,,,
270,105,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
271,106,Schwimmerbecken,ja,,1250,,,nein,nein,,,,ja,,,,,,,,,,,5
272,106,Kleinkinderbecken,ja,,130,,,,nein,,,,nein,,,,,,,,,,,
273,107,Schwimmerbecken,ja,,,25,,nein,nein,,,,ja,,,,,,,,,,,5
274,107,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
275,107,Kleinkinderbecken,nein,,,,,nein,nein,,0.4,,nein,,,,,,,,,,,
278,109,Schwimmerbecken,,,312,,,nein,ja,,,,ja,,,,,,,,,,,5
279,109,Nichtschwimmerbecken,,,100,,,,nein,,,,nein,,,,,,,,,,,
280,109,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
281,109,Tauchbecken,,,,,,,,,,,,,,,,,,,,,,
282,110,Schwimmerbecken,nein,,,25,,nein,nein,2,3.8,,ja,,,,,,,,,,,6
283,110,Nichtschwimmerbecken,,,,,,nein,ja,,,,nein,,,,,,,,,,,
284,111,Schwimmerbecken,ja,,,25,,ja,nein,,,,nein,,,,,,,,,,,5
285,111,Springerbecken,nein,,,,,ja,nein,,,,ja,,,,,,,,,,,
286,111,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
287,111,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
288,112,Schwimmerbecken,ja,,,50,18,nein,nein,,,,ja,,,,,,,,,,,6
