Becken-ID,Bad-ID,Beckentyp,"Abweichende Form","Lage des Beckens",Fläche,Länge,Breite,"Gleichmäßige Tiefe",Variofunktion,"Tiefe Minimum","Tiefe Maximum","Stufen Hubboden",Sprungbecken,"Besondere Aspekte",Schwimmen,Wasserball,Kunstspringen,Turmspringen,Kanu,Synchronschwimmen,Rettungsschwimmen,Anfängerschwimmen,"Sonstige Sportarten","Anzahl Bahnen"
13384,5979,Schwimmerbecken,nein,,,50,,,nein,,,,nein,,,,,,,,,,,8
13385,5979,Schwimmerbecken,nein,,,,,nein,nein,0.8,1.25,,nein,,,,,,,,,,,
13386,5979,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13387,5979,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
13388,5980,Naturbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13392,5983,Schwimmerbecken,nein,,,50,,,nein,,,,nein,,,,,,,,,,,
13393,5983,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13394,5983,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13395,5983,Springerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
19738,5984,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,4
13396,5985,Schwimmerbecken,nein,,,,,nein,nein,,,,ja,,,,,,,,,,,6
13397,5985,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13398,5986,Schwimmerbecken,nein,,,25,10,nein,ja,,,,ja,"Nichtschwimmerbereich integriert",,,,,,,,,,
13408,5993,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13411,5993,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13412,5993,Schwimmerbecken,nein,,,,20,nein,nein,,,,ja,,,,,,,,,,,8
13414,5993,Nichtschwimmerbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
14310,5997,Schwimmerbecken,nein,,,,,nein,,,,,nein,,,,,,,,,,,5
13419,6001,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13420,6001,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13421,6001,Schwimmerbecken,nein,,136,17,8,nein,nein,0.9,1.35,,nein,,,,,,,,,,,
13424,6005,Schwimmerbecken,nein,,250,25,10,nein,nein,,,,ja,,,,,,,,,,,4
13425,6005,Nichtschwimmerbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13426,6005,Nichtschwimmerbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13427,6005,Kleinkinderbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13440,6015,Naturbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13442,6017,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,6
13443,6017,Springerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13444,6017,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13445,6017,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13446,6018,Schwimmerbecken,ja,,2000,,,nein,nein,,,,nein,,,,,,,,,,,
13447,6018,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13448,6018,Nichtschwimmerbecken,ja,,1000,,,,nein,,,,nein,,,,,,,,,,,
13449,6019,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13450,6020,Schwimmerbecken,nein,,,25,,,nein,,,,ja,,,,,,,,,,,
13459,6029,Schwimmerbecken,nein,,312.5,25,12.5,nein,nein,,,,nein,,,,,,,,,,,5
13460,6029,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13464,6032,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13465,6032,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13466,6032,Springerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13467,6032,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
